"Plot Title: 06-28MAY19_20454092_DO_Logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Expired Sensor Cap (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
259,05/09/19 06:25:49 AM,11.34,9.84,11.34,99.2,,,,
260,05/09/19 06:35:49 AM,11.35,9.84,11.35,99.2,,,,
261,05/09/19 06:45:49 AM,11.34,9.84,11.34,99.2,,,,
262,05/09/19 06:55:49 AM,11.36,9.84,11.36,99.3,,,,
263,05/09/19 07:05:49 AM,11.35,9.86,11.35,99.3,,,,
264,05/09/19 07:15:49 AM,11.36,9.88,11.36,99.4,,,,
265,05/09/19 07:25:49 AM,11.35,9.88,11.35,99.3,,,,
266,05/09/19 07:35:49 AM,11.36,9.90,11.36,99.5,,,,
267,05/09/19 07:45:49 AM,11.36,9.92,11.36,99.5,,,,
268,05/09/19 07:55:49 AM,11.35,9.92,11.35,99.4,,,,
269,05/09/19 08:05:49 AM,11.35,9.94,11.35,99.5,,,,
270,05/09/19 08:15:49 AM,11.35,9.94,11.35,99.5,,,,
271,05/09/19 08:25:49 AM,11.35,9.96,11.35,99.5,,,,
272,05/09/19 08:35:49 AM,11.34,9.96,11.34,99.4,,,,
273,05/09/19 08:45:49 AM,11.34,9.98,11.34,99.5,,,,
274,05/09/19 08:55:49 AM,11.34,9.98,11.34,99.5,,,,
275,05/09/19 09:05:49 AM,11.33,10.00,11.33,99.4,,,,
276,05/09/19 09:15:49 AM,11.35,10.02,11.35,99.7,,,,
277,05/09/19 09:25:49 AM,11.34,10.02,11.34,99.6,,,,
278,05/09/19 09:35:49 AM,11.32,10.04,11.32,99.5,,,,
279,05/09/19 09:45:49 AM,11.31,10.06,11.31,99.4,,,,
280,05/09/19 09:55:49 AM,11.33,10.08,11.33,99.6,,,,
281,05/09/19 10:05:49 AM,11.31,10.10,11.31,99.5,,,,
282,05/09/19 10:15:49 AM,11.31,10.12,11.31,99.6,,,,
283,05/09/19 10:25:49 AM,11.29,10.14,11.29,99.4,,,,
284,05/09/19 10:35:49 AM,11.29,10.16,11.29,99.5,,,,
285,05/09/19 10:45:49 AM,11.29,10.18,11.29,99.5,,,,
286,05/09/19 10:55:49 AM,11.29,10.20,11.29,99.6,,,,
287,05/09/19 11:05:49 AM,11.28,10.22,11.28,99.5,,,,
288,05/09/19 11:15:49 AM,11.28,10.24,11.28,99.6,,,,
289,05/09/19 11:25:49 AM,11.27,10.24,11.27,99.5,,,,
290,05/09/19 11:35:49 AM,11.27,10.26,11.27,99.5,,,,
291,05/09/19 11:45:49 AM,11.26,10.28,11.26,99.5,,,,
292,05/09/19 11:55:49 AM,11.25,10.28,11.25,99.4,,,,
293,05/09/19 12:05:49 PM,11.26,10.30,11.26,99.5,,,,
294,05/09/19 12:15:49 PM,11.26,10.32,11.26,99.6,,,,
295,05/09/19 12:25:49 PM,11.24,10.32,11.24,99.4,,,,
296,05/09/19 12:35:49 PM,11.24,10.34,11.24,99.4,,,,
297,05/09/19 12:45:49 PM,11.25,10.36,11.25,99.6,,,,
298,05/09/19 12:55:49 PM,11.25,10.38,11.25,99.6,,,,
299,05/09/19 01:05:49 PM,11.24,10.40,11.24,99.6,,,,
300,05/09/19 01:15:49 PM,11.24,10.42,11.24,99.6,,,,
301,05/09/19 01:25:49 PM,11.24,10.46,11.24,99.7,,,,
302,05/09/19 01:35:49 PM,11.25,10.48,11.25,99.9,,,,
303,05/09/19 01:45:49 PM,11.24,10.50,11.24,99.8,,,,
304,05/09/19 01:55:49 PM,11.24,10.52,11.24,99.9,,,,
305,05/09/19 02:05:49 PM,11.23,10.52,11.23,99.8,,,,
306,05/09/19 02:15:49 PM,11.22,10.54,11.22,99.7,,,,
307,05/09/19 02:25:49 PM,11.21,10.54,11.21,99.6,,,,
308,05/09/19 02:35:49 PM,11.22,10.56,11.22,99.8,,,,
309,05/09/19 02:45:49 PM,11.22,10.56,11.22,99.8,,,,
310,05/09/19 02:55:49 PM,11.21,10.58,11.21,99.7,,,,
311,05/09/19 03:05:49 PM,11.21,10.58,11.21,99.7,,,,
312,05/09/19 03:15:49 PM,11.21,10.60,11.21,99.8,,,,
313,05/09/19 03:25:49 PM,11.22,10.62,11.22,99.9,,,,
314,05/09/19 03:35:49 PM,11.19,10.64,11.19,99.7,,,,
315,05/09/19 03:45:49 PM,11.20,10.66,11.20,99.8,,,,
316,05/09/19 03:55:49 PM,11.21,10.66,11.21,99.9,,,,
317,05/09/19 04:05:49 PM,11.19,10.66,11.19,99.7,,,,
318,05/09/19 04:15:49 PM,11.19,10.66,11.19,99.7,,,,
319,05/09/19 04:25:49 PM,11.19,10.68,11.19,99.8,,,,
320,05/09/19 04:35:49 PM,11.19,10.68,11.19,99.8,,,,
321,05/09/19 04:45:49 PM,11.18,10.68,11.18,99.7,,,,
322,05/09/19 04:55:49 PM,11.19,10.68,11.19,99.8,,,,
323,05/09/19 05:05:49 PM,11.18,10.68,11.18,99.7,,,,
324,05/09/19 05:15:49 PM,11.17,10.68,11.17,99.6,,,,
325,05/09/19 05:25:49 PM,11.17,10.66,11.17,99.6,,,,
326,05/09/19 05:35:49 PM,11.17,10.66,11.17,99.6,,,,
327,05/09/19 05:45:49 PM,11.17,10.64,11.17,99.5,,,,
328,05/09/19 05:55:49 PM,11.17,10.64,11.17,99.5,,,,
329,05/09/19 06:05:49 PM,11.18,10.62,11.18,99.6,,,,
330,05/09/19 06:15:49 PM,11.17,10.60,11.17,99.4,,,,
331,05/09/19 06:25:49 PM,11.17,10.60,11.17,99.4,,,,
332,05/09/19 06:35:49 PM,11.17,10.56,11.17,99.3,,,,
333,05/09/19 06:45:49 PM,11.18,10.54,11.18,99.4,,,,
334,05/09/19 06:55:49 PM,11.17,10.52,11.17,99.2,,,,
335,05/09/19 07:05:49 PM,11.16,10.50,11.16,99.1,,,,
336,05/09/19 07:15:49 PM,11.18,10.48,11.18,99.2,,,,
337,05/09/19 07:25:49 PM,11.19,10.48,11.19,99.3,,,,
338,05/09/19 07:35:49 PM,11.21,10.46,11.21,99.5,,,,
339,05/09/19 07:45:49 PM,11.21,10.46,11.21,99.5,,,,
340,05/09/19 07:55:49 PM,11.21,10.44,11.21,99.4,,,,
341,05/09/19 08:05:49 PM,11.21,10.42,11.21,99.4,,,,
342,05/09/19 08:15:49 PM,11.20,10.40,11.20,99.2,,,,
343,05/09/19 08:25:49 PM,11.20,10.36,11.20,99.1,,,,
344,05/09/19 08:35:49 PM,11.20,10.36,11.20,99.1,,,,
345,05/09/19 08:45:49 PM,11.20,10.34,11.20,99.1,,,,
346,05/09/19 08:55:49 PM,11.20,10.32,11.20,99.0,,,,
347,05/09/19 09:05:49 PM,11.20,10.30,11.20,99.0,,,,
348,05/09/19 09:15:49 PM,11.21,10.30,11.21,99.1,,,,
349,05/09/19 09:25:49 PM,11.20,10.28,11.20,99.0,,,,
350,05/09/19 09:35:49 PM,11.20,10.26,11.20,98.9,,,,
351,05/09/19 09:45:49 PM,11.22,10.24,11.22,99.0,,,,
