"","pH","ObservationDate","treatment","location","sensortype"
"800",7.22,2019-02-13,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"801",7.22,2019-02-18,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"802",7.22,2019-02-24,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"803",7.22,2019-03-02,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"804",7.22,2019-03-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"805",7.22,2019-03-05,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"806",7.22,2019-03-13,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"807",7.22,2019-03-15,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"808",7.22,2019-03-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"809",7.22,2019-04-01,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"810",7.22,2019-04-02,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"811",7.22,2019-04-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"812",7.22,2019-04-07,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"813",7.22,2019-04-17,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"814",7.22,2019-04-18,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"815",7.22,2019-04-26,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"816",7.22,2019-04-30,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"817",7.22,2019-05-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"818",7.22,2019-05-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"819",7.22,2019-05-04,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"820",7.22,2019-05-15,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"821",7.22,2019-05-25,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"822",7.22,2019-06-01,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"823",7.22,2019-06-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"824",7.22,2019-06-08,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"825",7.22,2019-06-10,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"826",7.22,2019-06-11,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"827",7.22,2019-06-14,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"828",7.22,2019-06-18,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"829",7.22,2019-06-22,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"830",7.22,2019-06-22,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"831",7.22,2019-06-23,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"832",7.22,2019-06-24,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"833",7.22,2019-07-01,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"834",7.22,2019-07-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"835",7.228375231,2018-09-11,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"836",7.229990421,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"837",7.23,2018-08-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"838",7.23,2018-09-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"839",7.23,2018-09-14,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"840",7.23,2018-09-15,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"841",7.23,2018-09-18,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"842",7.23,2018-10-04,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"843",7.23,2018-10-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
