"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
195,04/03/19 06:35:49 PM,11.55,9.00,0.00,0.0,,,,
196,04/03/19 06:45:49 PM,11.54,9.00,0.00,0.0,,,,
197,04/03/19 06:55:49 PM,11.54,9.02,0.00,0.0,,,,
198,04/03/19 07:05:49 PM,11.52,9.06,0.00,0.0,,,,
199,04/03/19 07:15:49 PM,11.54,9.08,0.00,0.0,,,,
200,04/03/19 07:25:49 PM,11.53,9.10,0.00,0.0,,,,
201,04/03/19 07:35:49 PM,11.51,9.14,0.00,0.0,,,,
202,04/03/19 07:45:49 PM,11.52,9.16,0.00,0.0,,,,
203,04/03/19 07:55:49 PM,11.51,9.18,0.00,0.0,,,,
204,04/03/19 08:05:49 PM,11.51,9.22,0.00,0.0,,,,
205,04/03/19 08:15:49 PM,11.51,9.24,0.00,0.0,,,,
206,04/03/19 08:25:49 PM,11.50,9.26,0.00,0.0,,,,
207,04/03/19 08:35:49 PM,11.50,9.28,0.00,0.0,,,,
208,04/03/19 08:45:49 PM,11.50,9.28,0.00,0.0,,,,
209,04/03/19 08:55:49 PM,11.51,9.30,0.00,0.0,,,,
210,04/03/19 09:05:49 PM,11.50,9.30,0.00,0.0,,,,
211,04/03/19 09:15:49 PM,11.48,9.30,0.00,0.0,,,,
212,04/03/19 09:25:49 PM,11.49,9.32,0.00,0.0,,,,
213,04/03/19 09:35:49 PM,11.49,9.32,0.00,0.0,,,,
214,04/03/19 09:45:49 PM,11.50,9.32,0.00,0.0,,,,
215,04/03/19 09:55:49 PM,11.50,9.32,0.00,0.0,,,,
216,04/03/19 10:05:49 PM,11.49,9.34,0.00,0.0,,,,
217,04/03/19 10:15:49 PM,11.49,9.34,0.00,0.0,,,,
218,04/03/19 10:25:49 PM,11.48,9.36,0.00,0.0,,,,
219,04/03/19 10:35:49 PM,11.48,9.36,0.00,0.0,,,,
220,04/03/19 10:45:49 PM,11.49,9.36,0.00,0.0,,,,
221,04/03/19 10:55:49 PM,11.49,9.36,0.00,0.0,,,,
222,04/03/19 11:05:49 PM,11.50,9.38,0.00,0.0,,,,
223,04/03/19 11:15:49 PM,11.49,9.38,0.00,0.0,,,,
224,04/03/19 11:25:49 PM,11.49,9.38,0.00,0.0,,,,
225,04/03/19 11:35:49 PM,11.49,9.38,0.00,0.0,,,,
226,04/03/19 11:45:49 PM,11.49,9.38,0.00,0.0,,,,
227,04/03/19 11:55:49 PM,11.49,9.38,0.00,0.0,,,,
228,04/04/19 12:05:49 AM,11.49,9.38,0.00,0.0,,,,
229,04/04/19 12:15:49 AM,11.49,9.36,0.00,0.0,,,,
230,04/04/19 12:25:49 AM,11.49,9.34,0.00,0.0,,,,
231,04/04/19 12:35:49 AM,11.50,9.32,0.00,0.0,,,,
232,04/04/19 12:45:49 AM,11.50,9.28,0.00,0.0,,,,
233,04/04/19 12:55:49 AM,11.49,9.26,0.00,0.0,,,,
234,04/04/19 01:05:49 AM,11.50,9.22,0.00,0.0,,,,
235,04/04/19 01:15:49 AM,11.52,9.18,0.00,0.0,,,,
236,04/04/19 01:25:49 AM,11.53,9.16,0.00,0.0,,,,
237,04/04/19 01:35:49 AM,11.53,9.14,0.00,0.0,,,,
238,04/04/19 01:45:49 AM,11.53,9.10,0.00,0.0,,,,
239,04/04/19 01:55:49 AM,11.53,9.08,0.00,0.0,,,,
240,04/04/19 02:05:49 AM,11.54,9.06,0.00,0.0,,,,
241,04/04/19 02:15:49 AM,11.55,9.04,0.00,0.0,,,,
242,04/04/19 02:25:49 AM,11.56,9.02,0.00,0.0,,,,
243,04/04/19 02:35:49 AM,11.55,9.00,0.00,0.0,,,,
244,04/04/19 02:45:49 AM,11.56,9.00,0.00,0.0,,,,
245,04/04/19 02:55:49 AM,11.57,8.98,0.00,0.0,,,,
246,04/04/19 03:05:49 AM,11.56,9.00,0.00,0.0,,,,
247,04/04/19 03:15:49 AM,11.57,9.00,0.00,0.0,,,,
248,04/04/19 03:25:49 AM,11.57,9.00,0.00,0.0,,,,
249,04/04/19 03:35:49 AM,11.57,9.00,0.00,0.0,,,,
250,04/04/19 03:45:49 AM,11.57,9.02,0.00,0.0,,,,
251,04/04/19 03:55:49 AM,11.57,9.02,0.00,0.0,,,,
252,04/04/19 04:05:49 AM,11.56,9.04,0.00,0.0,,,,
253,04/04/19 04:15:49 AM,11.57,9.06,0.00,0.0,,,,
254,04/04/19 04:25:49 AM,11.57,9.06,0.00,0.0,,,,
255,04/04/19 04:35:49 AM,11.57,9.08,0.00,0.0,,,,
256,04/04/19 04:45:49 AM,11.57,9.10,0.00,0.0,,,,
257,04/04/19 04:55:49 AM,11.56,9.10,0.00,0.0,,,,
258,04/04/19 05:05:49 AM,11.57,9.10,0.00,0.0,,,,
259,04/04/19 05:15:49 AM,11.55,9.10,0.00,0.0,,,,
260,04/04/19 05:25:49 AM,11.56,9.10,0.00,0.0,,,,
261,04/04/19 05:35:49 AM,11.55,9.12,0.00,0.0,,,,
262,04/04/19 05:45:49 AM,11.55,9.12,0.00,0.0,,,,
263,04/04/19 05:55:49 AM,11.54,9.12,0.00,0.0,,,,
264,04/04/19 06:05:49 AM,11.54,9.14,0.00,0.0,,,,
265,04/04/19 06:15:49 AM,11.54,9.14,0.00,0.0,,,,
266,04/04/19 06:25:49 AM,11.54,9.12,0.00,0.0,,,,
267,04/04/19 06:35:49 AM,11.54,9.12,0.00,0.0,,,,
268,04/04/19 06:45:49 AM,11.54,9.10,0.00,0.0,,,,
269,04/04/19 06:55:49 AM,11.53,9.10,0.00,0.0,,,,
270,04/04/19 07:05:49 AM,11.55,9.08,0.00,0.0,,,,
271,04/04/19 07:15:49 AM,11.54,9.08,0.00,0.0,,,,
272,04/04/19 07:25:49 AM,11.55,9.08,0.00,0.0,,,,
273,04/04/19 07:35:49 AM,11.54,9.08,0.00,0.0,,,,
274,04/04/19 07:45:49 AM,11.54,9.08,0.00,0.0,,,,
275,04/04/19 07:55:49 AM,11.56,9.08,0.00,0.0,,,,
276,04/04/19 08:05:49 AM,11.55,9.10,0.00,0.0,,,,
277,04/04/19 08:15:49 AM,11.56,9.10,0.00,0.0,,,,
278,04/04/19 08:25:49 AM,11.56,9.10,0.00,0.0,,,,
279,04/04/19 08:35:49 AM,11.56,9.10,0.00,0.0,,,,
280,04/04/19 08:45:49 AM,11.55,9.10,0.00,0.0,,,,
281,04/04/19 08:55:49 AM,11.56,9.10,0.00,0.0,,,,
282,04/04/19 09:05:49 AM,11.56,9.10,0.00,0.0,,,,
283,04/04/19 09:15:49 AM,11.55,9.12,0.00,0.0,,,,
284,04/04/19 09:25:49 AM,11.55,9.14,0.00,0.0,,,,
285,04/04/19 09:35:49 AM,11.54,9.18,0.00,0.0,,,,
286,04/04/19 09:45:49 AM,11.53,9.22,0.00,0.0,,,,
287,04/04/19 09:55:49 AM,11.53,9.24,0.00,0.0,,,,
288,04/04/19 10:05:49 AM,11.52,9.28,0.00,0.0,,,,
289,04/04/19 10:15:49 AM,11.51,9.30,0.00,0.0,,,,
290,04/04/19 10:25:49 AM,11.50,9.30,0.00,0.0,,,,
291,04/04/19 10:35:49 AM,11.50,9.30,0.00,0.0,,,,
292,04/04/19 10:45:49 AM,11.48,9.32,0.00,0.0,,,,
293,04/04/19 10:55:49 AM,11.49,9.32,0.00,0.0,,,,
294,04/04/19 11:05:49 AM,11.49,9.32,0.00,0.0,,,,
295,04/04/19 11:15:49 AM,11.49,9.32,0.00,0.0,,,,
296,04/04/19 11:25:49 AM,11.47,9.32,0.00,0.0,,,,
297,04/04/19 11:35:49 AM,11.47,9.32,0.00,0.0,,,,
298,04/04/19 11:45:49 AM,11.48,9.34,0.00,0.0,,,,
299,04/04/19 11:55:49 AM,11.49,9.36,0.00,0.0,,,,
300,04/04/19 12:05:49 PM,11.48,9.38,0.00,0.0,,,,
301,04/04/19 12:15:49 PM,11.47,9.38,0.00,0.0,,,,
302,04/04/19 12:25:49 PM,11.47,9.40,0.00,0.0,,,,
303,04/04/19 12:35:49 PM,11.46,9.40,0.00,0.0,,,,
304,04/04/19 12:45:49 PM,11.47,9.42,0.00,0.0,,,,
305,04/04/19 12:55:49 PM,11.47,9.42,0.00,0.0,,,,
306,04/04/19 01:05:49 PM,11.47,9.42,0.00,0.0,,,,
307,04/04/19 01:15:49 PM,11.45,9.42,0.00,0.0,,,,
308,04/04/19 01:25:49 PM,11.45,9.42,0.00,0.0,,,,
309,04/04/19 01:35:49 PM,11.45,9.44,0.00,0.0,,,,
310,04/04/19 01:45:49 PM,11.46,9.46,0.00,0.0,,,,
311,04/04/19 01:55:49 PM,11.45,9.46,0.00,0.0,,,,
312,04/04/19 02:05:49 PM,11.45,9.46,0.00,0.0,,,,
313,04/04/19 02:15:49 PM,11.45,9.46,0.00,0.0,,,,
314,04/04/19 02:25:49 PM,11.45,9.46,0.00,0.0,,,,
315,04/04/19 02:35:49 PM,11.45,9.46,0.00,0.0,,,,
316,04/04/19 02:45:49 PM,11.44,9.46,0.00,0.0,,,,
317,04/04/19 02:55:49 PM,11.45,9.48,0.00,0.0,,,,
318,04/04/19 03:05:49 PM,11.44,9.48,0.00,0.0,,,,
319,04/04/19 03:15:49 PM,11.43,9.48,0.00,0.0,,,,
320,04/04/19 03:25:49 PM,11.44,9.48,0.00,0.0,,,,
321,04/04/19 03:35:49 PM,11.44,9.48,0.00,0.0,,,,
322,04/04/19 03:45:49 PM,11.44,9.48,0.00,0.0,,,,
323,04/04/19 03:55:49 PM,11.44,9.50,0.00,0.0,,,,
324,04/04/19 04:05:49 PM,11.44,9.54,0.00,0.0,,,,
325,04/04/19 04:15:49 PM,11.43,9.54,0.00,0.0,,,,
326,04/04/19 04:25:49 PM,11.43,9.54,0.00,0.0,,,,
327,04/04/19 04:35:49 PM,11.43,9.52,0.00,0.0,,,,
328,04/04/19 04:45:49 PM,11.44,9.52,0.00,0.0,,,,
329,04/04/19 04:55:49 PM,11.44,9.54,0.00,0.0,,,,
330,04/04/19 05:05:49 PM,11.44,9.54,0.00,0.0,,,,
331,04/04/19 05:15:49 PM,11.44,9.56,0.00,0.0,,,,
332,04/04/19 05:25:49 PM,11.44,9.56,0.00,0.0,,,,
333,04/04/19 05:35:49 PM,11.44,9.56,0.00,0.0,,,,
334,04/04/19 05:45:49 PM,11.45,9.56,0.00,0.0,,,,
335,04/04/19 05:55:49 PM,11.43,9.56,0.00,0.0,,,,
336,04/04/19 06:05:49 PM,11.43,9.56,0.00,0.0,,,,
337,04/04/19 06:15:49 PM,11.43,9.54,0.00,0.0,,,,
338,04/04/19 06:25:49 PM,11.43,9.54,0.00,0.0,,,,
339,04/04/19 06:35:49 PM,11.44,9.54,0.00,0.0,,,,
340,04/04/19 06:45:49 PM,11.43,9.54,0.00,0.0,,,,
341,04/04/19 06:55:49 PM,11.42,9.54,0.00,0.0,,,,
342,04/04/19 07:05:49 PM,11.42,9.54,0.00,0.0,,,,
343,04/04/19 07:15:49 PM,11.41,9.52,0.00,0.0,,,,
344,04/04/19 07:25:49 PM,11.41,9.50,0.00,0.0,,,,
345,04/04/19 07:35:49 PM,11.39,9.50,0.00,0.0,,,,
346,04/04/19 07:45:49 PM,11.41,9.48,0.00,0.0,,,,
347,04/04/19 07:55:49 PM,11.39,9.46,0.00,0.0,,,,
348,04/04/19 08:05:49 PM,11.39,9.46,0.00,0.0,,,,
349,04/04/19 08:15:49 PM,11.41,9.44,0.00,0.0,,,,
350,04/04/19 08:25:49 PM,11.39,9.44,0.00,0.0,,,,
351,04/04/19 08:35:49 PM,11.41,9.42,0.00,0.0,,,,
352,04/04/19 08:45:49 PM,11.42,9.42,0.00,0.0,,,,
353,04/04/19 08:55:49 PM,11.41,9.42,0.00,0.0,,,,
